days,Position X (m),Position Y (m),Position Z (m)
0,587000000000.0,-526000000000.0,-12600000000.0
10,594473600000.0,-517031680000.0,-12600000000.0
20,601826758374.4932,-507958609236.94855,-12597449263.980242
30,609057836328.2275,-498782501294.5377,-12592345201.297205
40,616165222217.0809,-489505100059.3411,-12584685863.952768
50,623147332242.3103,-480128179221.0714,-12574469950.041431
60,630002611134.484,-470653541753.69275,-12561696806.833368
70,636729532826.4446,-461083019377.9066,-12546366433.481785
80,643326601114.4026,-451418472005.7077,-12528479483.343645
90,649792350305.6802,-441661787167.5889,-12508037265.91967
100,656125345850.8942,-431814879422.2702,-12485041748.45601
110,662324184958.2163,-421879689747.50146,-12459495557.28648
120,668387497188.8292,-411858184909.4917,-12431401978.976635
130,674313945036.0853,-401752356809.8883,-12400764961.218283
140,680102224494.1477,-391564221814.2306,-12367589113.28466
150,685751065618.9476,-381295820069.7909,-12331879705.887981
160,691259233074.3418,-370949214814.43256,-12293642670.518454
170,696625526657.792,-360526491672.3803,-12252884598.355076
180,701848781801.9364,-350029757933.8667,-12209612738.939276
190,706927870054.6934,-339461141817.0554,-12163834998.620169
200,711861699540.8868,-328822791715.49786,-12115559938.627724
210,716649215405.01,-318116875432.44934,-12064796772.772549
220,721289400234.7311,-307345579402.8428,-12011555364.780365
230,725781274464.8931,-296511107903.6884,-11955846225.267872
240,730123896761.856,-285615682253.75525,-11897680508.36422
250,734316364388.0327,-274661540003.53635,-11837070007.974913
260,738357813546.3448,-263650934116.66653,-11774027153.671618
270,742247419704.0115,-252586132144.11462,-11708565006.178677
280,745984397894.4045,-241469415392.55484,-11640697252.438084
290,749568002994.2101,-230303078087.896,-11570438200.301676
300,752997529971.2083,-219089426532.79486,-11497802773.001265
310,756272314099.5103,-207830778253.19876,-11422806503.511194
320,759391731149.2109,-196529461129.78464,-11345465528.57882
330,762355197567.7883,-185187812522.67517,-11265796581.966482
340,765162170649.117,-173808178400.33725,-11183816987.24932
350,767812148677.7206,-162392912469.70398,-11099544650.458513
360,770304671046.1351,-150944375304.7558,-11012998052.534298
370,772639318346.6653,-139464933473.08902,-10924196241.544668
380,774815712438.929,-127956958661.2726,-10833158824.636415
390,776833516493.8473,-116422826799.97421,-10739905959.70652
400,778692435014.3414,-104864917189.73184,-10644458346.794092
410,780392213832.8805,-93285611628.14476,-10546837219.198038
420,781932640086.0367,-81687293539.18542,-10447064334.326658
430,783313542166.2952,-70072347105.2766,-10345161964.283876
440,784534789651.5482,-58443156402.739784,-10241152886.193121
450,785596293213.0376,-46802104541.26865,-10135060372.255602
460,786498004502.8828,-35151572808.42008,-10026908179.54487
470,787239916021.8734,-23493939821.0038,-9916720539.585749
480,787822060965.1257,-11831580685.487679,-9804522147.810156
490,788244513043.4178,-166866168.74103737,-9690338152.874624
500,788507386272.0092,11497838123.797955,-9574194146.126022
510,788610834735.9888,23160172570.82743,-9456116150.719353
520,788555052348.5265,34817784351.634926,-9336130610.155428
530,788340272596.2389,46468328248.745285,-9214264376.634785
540,787966768263.6664,58109467437.27501,-9090544699.407967
550,787434851135.8796,69738874262.70586,-8964999213.09351
560,786744871680.6306,81354231007.4763,-8837655925.921833
570,785897218711.3672,92953230646.08914,-8708543207.88958
580,784892319032.0621,104533577588.26328,-8577689778.825105
590,783730637064.614,116092988409.67479,-8445124696.372404
600,782412674459.5386,127629192569.89813,-8310877343.902379
610,780938969690.7699,139139933117.20865,-8174977418.359661
620,779310097635.5929,150622967379.8206,-8037454918.060654
630,777526669140.3446,162076067642.60193,-7898340130.522412
640,775589330569.5323,173497021809.1608,-7757663620.385898
650,773498763344.5222,184883634052.58383,-7615456216.944795
660,771255683476.8088,196233725449.4859,-7471749001.5735235
670,768860841089.7198,207545134592.40164,-7326573295.399868
680,766315019917.8411,218815718178.08395,-7179960647.438592
690,763619036779.9216,230043351581.4853,-7031942822.76671
700,760773741043.0112,241225929422.99695,-6882551790.195148
710,757780014085.9615,252361366122.3852,-6731819709.743396
720,754638768756.9991,263447596434.4571,-6579778920.261288
730,751350948822.1268,274482575966.27515,-6426461927.242561
740,747917528404.2903,285464281676.5488,-6271901390.788052
750,744339511414.0723,296390712357.48584,-6116130113.686098
760,740617930972.6674,307259889099.17126,-5959181029.593566
770,736753848827.8374,318069855736.5328,-5801087191.305348
780,732748354763.8093,328818679279.0525,-5641881759.096409
790,728602566006.4844,339504450322.5946,-5481597989.214046
800,724317626620.1766,350125283441.19147,-5320269222.723287
810,719894706898.3744,360679317564.0221,-5157928874.165176
820,715335002753.0643,371164716335.6732,-4994610420.306026
830,710639735099.9486,381579668459.2535,-4830347389.040429
840,705810149241.857,391922388024.3208,-4665173348.324437
850,700847514254.373,402191114819.30646,-4499121895.18845
860,695753122372.1378,412384114621.7952,-4332226645.223241
870,690528288364.564,422499679463.5289,-4164521222.633051
880,685174348902.5463,432536127881.2594,-3996039250.1940284
890,679692661928.2034,442491805158.03894,-3826814338.9690337
900,674084606029.8517,452365083550.2952,-3656880078.1073236
910,668351579819.6223,462154362497.8801,-3486270024.890844
920,662495001312.2468,471858068816.87775,-3315017695.033865
930,656516307304.7798,481474656875.7429,-3143156553.202997
940,650416952757.7771,491002608755.6947,-2970720003.7046876
950,644198410179.9093,500440434395.9723,-2797741381.3811407
960,637862169013.0964,509786671720.6086,-2624253942.9529233
970,631409735018.7148,519039886751.6597,-2450290858.313013
980,624842629668.7589,528198673708.7582,-2275885201.9982677
990,618162389540.5201,537261655093.92456,-2101069944.906096
1000,611370565714.9318,546227481762.2437,-1925877946.2248101
